step,K,U,E
10,1.2157858510679191,-2.502821848227439,-1.2870359971595198
20,1.2244152345666504,-2.5114519840402316,-1.2870367494735813
30,1.2382706277350382,-2.525308655594693,-1.287038027859655
40,1.2565208560916579,-2.5435607053931584,-1.2870398493015005
50,1.277938876759574,-2.564981072947896,-1.287042196188322
60,1.300883366291296,-2.5879283415625154,-1.2870449752712194
70,1.3233412344934063,-2.6103892110320492,-1.287047976538643
80,1.3430720245334788,-2.6301228804739285,-1.2870508559404497
90,1.3578748108367609,-2.644927983568501,-1.28705317273174
100,1.365948810691469,-2.653003306616912,-1.2870544959254429
110,1.366255395554611,-2.6533099450727864,-1.2870545495181753
120,1.3587528085468696,-2.6458061304545644,-1.2870533219076947
130,1.3444060224947452,-2.631457093210215,-1.2870510707154696
140,1.3249674417959763,-2.612015661596728,-1.2870482198007518
150,1.302620316047339,-2.589665529853198,-1.2870452138058588
160,1.2796138761295017,-2.5666562828831334,-1.2870424067536317
170,1.257987086523276,-2.545027105775948,-1.287040019252672
180,1.2394147751268105,-2.5264529276242165,-1.287038152497406
190,1.2251584363683339,-2.512195264901322,-1.287036828532988
200,1.2160813899994363,-2.5031174218791423,-1.287036031879706
210,1.2126885084815917,-2.4997242491214426,-1.287035740639851
220,1.2151617312686533,-2.502197675919099,-1.2870359446504458
230,1.2233750405226056,-2.5104116923974917,-1.2870366518748861
240,1.2368832521868245,-2.5239211361407463,-1.2870378839539218
250,1.2548885247776722,-2.5419281849641417,-1.2870396601864695
260,1.2761989118872061,-2.563240880408614,-1.2870419685214078
270,1.2992056427743202,-2.58625036770477,-1.2870447249304497
280,1.3219177199393808,-2.6089654509687215,-1.2870477310293407
290,1.3420957962700164,-2.6291464491754475,-1.287050652905431
300,1.3575094358657283,-2.644562488262077,-1.2870530523963488
310,1.3662945432184699,-2.653349031682374,-1.2870544884639041
320,1.3673233702953842,-2.654378033269058,-1.2870546629736739
330,1.3604580215561797,-2.647511559634906,-1.2870535380787265
340,1.3465827904547567,-2.6336341425284635,-1.2870513520737068
350,1.3274011626008457,-2.6144496857249075,-1.2870485231240618
360,1.3050833840569906,-2.5921288867163605,-1.28704550265937
370,1.281894754823221,-2.5689374124849573,-1.2870426576617364
380,1.2599073569479118,-2.546947578405483,-1.2870402214575711
390,1.2408348272520229,-2.527873131403167,-1.2870383041511442
400,1.225975625609868,-2.513012557806218,-1.28703693219635
410,1.2162249493397472,-2.503261040233698,-1.2870360908939507
420,1.2121145593601166,-2.499150316127412,-1.2870357567672954
430,1.2138505015412995,-2.500886418375235,-1.2870359168339354
440,1.2213313842653601,-2.5083679601913142,-1.287036575925954
450,1.234140782747949,-2.5211785359457384,-1.2870377531977895
460,1.2515168733009547,-2.538556340662698,-1.2870394673617431
470,1.2723125098168544,-2.559354219154148,-1.2870417093372937
480,1.2949708572816192,-2.582015260596957,-1.2870444033153379
490,1.3175534682601786,-2.6046008332050317,-1.287047364944853
500,1.3378620310225278,-2.624912308816139,-1.2870502777936113
510,1.3536798701842523,-2.640732588368629,-1.2870527181843765
520,1.3631157879053144,-2.6501700357596785,-1.287054247854364
530,1.3649706302529745,-2.6520251845353906,-1.287054554282416
540,1.3590025562611197,-2.6460561276842536,-1.287053571423134
550,1.3459834390462597,-2.6330349461833498,-1.28705150713709
560,1.3275218988780457,-2.6145706580184855,-1.2870487591404398
570,1.3057279436687261,-2.592773717255437,-1.287045773586711
580,1.2828448142184223,-2.569887738561926,-1.2870429243435035
590,1.2609536271692612,-2.5479940841711026,-1.2870404570018414
600,1.2417967099853202,-2.528835203487218,-1.287038493501898
610,1.2267103767177696,-2.513747445517172,-1.2870370687994024
620,1.2166298288525703,-2.5036660017624612,-1.287036172909891
630,1.2121256869315091,-2.4991614710329886,-1.2870357841014795
640,1.2134412421457457,-2.5004771315154466,-1.287035889369701
650,1.2205119090761833,-2.507548402053585,-1.2870364929774016
660,1.2329593142809787,-2.5199969284540136,-1.2870376141730349
670,1.250062015720969,-2.5371012894180236,-1.2870392736970546
680,1.2707148730546238,-2.5577563407268182,-1.2870414676721944
690,1.2934009545967984,-2.58044508397174,-1.2870441293749415
700,1.3162120624479883,-2.6032591490145136,-1.2870470865665253
710,1.3369597152465464,-2.6240097496486072,-1.2870500344020608
720,1.35340580608625,-2.640458360168928,-1.2870525540826783
730,1.363601167406122,-2.6506553668702972,-1.2870541994641753
740,1.3662580281735834,-2.653312664553779,-1.2870546363801953
750,1.36103338807514,-2.648087158445137,-1.287053770369997
760,1.348609558471081,-2.6356613443058476,-1.2870517858347665
770,1.3305369286617155,-2.6175859993649304,-1.287049070703215
780,1.3089062073111828,-2.5959522829204853,-1.2870460756093025
790,1.2859753368943008,-2.5730185241540218,-1.287043187259721
800,1.263862143539836,-2.550902808850874,-1.287040665311038
810,1.244355128785065,-2.5313937712555417,-1.2870386424704767
820,1.2288371806467246,-2.5158743405226875,-1.287037159875963
830,1.2182858792204159,-2.5053220891052566,-1.2870362098848407
840,1.2133090357917218,-2.5003448065002356,-1.2870357707085138
850,1.214183114762786,-2.501218943054416,-1.28703582829163
860,1.2208746928128948,-2.507911078847624,-1.2870363860347291
870,1.2330363155878805,-2.5200737791440617,-1.2870374635561812
880,1.2499778025549213,-2.5370168867434963,-1.287039084188575
890,1.2706240847304042,-2.5576653344051357,-1.2870412496747314
900,1.2934826329660793,-2.5805265350010727,-1.2870439020349933
910,1.316656335019077,-2.603703214387205,-1.2870468793681282
920,1.3379449383044493,-2.6249948231316544,-1.2870498848272052
930,1.3550678313764926,-2.6421203309119794,-1.2870524995354868
940,1.3660016968692779,-2.6530559616060723,-1.2870542647367944
950,1.3693632062505992,-2.6564180286168884,-1.2870548223662892
960,1.3647127729794952,-2.651766824311287,-1.2870540513317918
970,1.3526579722097707,-2.639710090225018,-1.2870521180152474
980,1.3347115225643735,-2.6217609299918525,-1.287049407427479
990,1.312965306694672,-2.600011687069086,-1.2870463803744139
1000,1.2897075440574757,-2.5767509834853572,-1.2870434394278816
1010,1.2671009622662235,-2.5541418209567475,-1.287040858690524
1020,1.2469808358842165,-2.53401961616537,-1.2870387802811536
1030,1.2307708454390276,-2.517808094856958,-1.2870372494179303
1040,1.2194805143870764,-2.506516772952809,-1.2870362585657324
1050,1.2137414549445564,-2.500777238624739,-1.2870357836801825
1060,1.2138485200730273,-2.500884327402402,-1.2870358073293748
1070,1.2197848934151634,-2.506821222680939,-1.2870363292657756
1080,1.2312217783043191,-2.518259144198463,-1.2870373658941439
1090,1.247493187577259,-2.534532126221329,-1.28703893864407
1100,1.2675561872850285,-2.5545972372143204,-1.287041049929292
1110,1.2899584971013964,-2.577002143664682,-1.2870436465632857
1120,1.312847796923589,-2.599894373591899,-1.2870465766683101
1130,1.3340646750079854,-2.621114232869492,-1.2870495578615067
1140,1.3513525369418609,-2.638404722941846,-1.287052185999985
1150,1.362681713143052,-2.649735723252891,-1.287054010109839
1160,1.3666245137749482,-2.653679180173312,-1.287054666398364
