step,index,name,mass,x,y,vx,vy
10,0,Star,10.0,0.0,0.0,0.0,0.0
10,1,Satellite,0.1,0.9452600307772502,0.3109971652034706,-0.9899325817367897,3.019710281369471
20,0,Star,10.0,0.0,0.0,0.0,0.0
20,1,Satellite,0.1,0.7954420356888028,0.5906348479621009,-1.893528880664324,2.5695065459489794
30,0,Star,10.0,0.0,0.0,0.0,0.0
30,1,Satellite,0.1,0.5645908627698512,0.8100244739127731,-2.6138867186869774,1.8508366233024651
40,0,Star,10.0,0.0,0.0,0.0,0.0
40,1,Satellite,0.1,0.2756524672703319,0.9459969231395384,-3.0703456055619998,0.9350185285262138
50,0,Star,10.0,0.0,0.0,0.0,0.0
50,1,Satellite,0.1,-0.04181662423913425,0.9839810690381888,-3.210298455012265,-0.08142107441041459
60,0,Star,10.0,0.0,0.0,0.0,0.0
60,1,Satellite,0.1,-0.35495408699996317,0.919904841488019,-3.017551169654139,-1.088641443831988
70,0,Star,10.0,0.0,0.0,0.0,0.0
70,1,Satellite,0.1,-0.6314300798700556,0.7607281913859788,-2.5149333143625645,-1.9782031745051807
80,0,Star,10.0,0.0,0.0,0.0,0.0
80,1,Satellite,0.1,-0.843187721287217,0.523496895385906,-1.7604189627758975,-2.657419862751378
90,0,Star,10.0,0.0,0.0,0.0,0.0
90,1,Satellite,0.1,-0.9694861023433001,0.23312670760837317,-0.8379209876019965,-3.06031813341267
100,0,Star,10.0,0.0,0.0,0.0,0.0
100,1,Satellite,0.1,-0.998844112184994,-0.08063270049017009,0.15473583985603823,-3.153445921253832
110,0,Star,10.0,0.0,0.0,0.0,0.0
110,1,Satellite,0.1,-0.9297569336648938,-0.3865210307499227,1.1179110662893383,-2.93644653100646
120,0,Star,10.0,0.0,0.0,0.0,0.0
120,1,Satellite,0.1,-0.7702984089210708,-0.6549135402460957,1.9602874109299917,-2.4386119330136706
130,0,Star,10.0,0.0,0.0,0.0,0.0
130,1,Satellite,0.1,-0.536863322967446,-0.8604818929321818,2.6061642503135847,-1.713137168102164
140,0,Star,10.0,0.0,0.0,0.0,0.0
140,1,Satellite,0.1,-0.2523350253304584,-0.984227036724591,3.0000091184311093,-0.8305924835987506
150,0,Star,10.0,0.0,0.0,0.0,0.0
150,1,Satellite,0.1,0.05608094127736862,-1.0148625617466913,3.108923295173072,0.12745507461655836
160,0,Star,10.0,0.0,0.0,0.0,0.0
160,1,Satellite,0.1,0.35919091062109043,-0.9495847873575912,2.9237767030718205,1.0743695619512417
170,0,Star,10.0,0.0,0.0,0.0,0.0
170,1,Satellite,0.1,0.6282137405648675,-0.7942682788268393,2.459542518366907,1.9240920396246217
180,0,Star,10.0,0.0,0.0,0.0,0.0
180,1,Satellite,0.1,0.8371790298752263,-0.5630942254662402,1.7549661539494255,2.5968953777004993
190,0,Star,10.0,0.0,0.0,0.0,0.0
190,1,Satellite,0.1,0.9652431935490624,-0.2775804012257325,0.8712665938863338,3.0255910106186037
200,0,Star,10.0,0.0,0.0,0.0,0.0
200,1,Satellite,0.1,0.9987926898178695,0.035037597845166246,-0.11078806513840134,3.162213685276326
210,0,Star,10.0,0.0,0.0,0.0,0.0
210,1,Satellite,0.1,0.9331280830267232,0.3440980770269975,-1.0962213891275367,2.9846599184326275
220,0,Star,10.0,0.0,0.0,0.0,0.0
220,1,Satellite,0.1,0.773453645051838,0.6184135165484829,-1.9841446746102827,2.502096650500611
230,0,Star,10.0,0.0,0.0,0.0,0.0
230,1,Satellite,0.1,0.5348797141428373,0.8295661388676511,-2.6788129228140964,1.7574515207538717
240,0,Star,10.0,0.0,0.0,0.0,0.0
240,1,Satellite,0.1,0.24122387582720323,0.9552116723284024,-3.1021323554707725,0.8253106141852674
250,0,Star,10.0,0.0,0.0,0.0,0.0
250,1,Satellite,0.1,-0.07740996135905372,0.9818745121302521,-3.2052296755255814,-0.19563808042806285
260,0,Star,10.0,0.0,0.0,0.0,0.0
260,1,Satellite,0.1,-0.38802479218599134,0.906710862273309,-2.976257737255232,-1.1949557095615482
270,0,Star,10.0,0.0,0.0,0.0,0.0
270,1,Satellite,0.1,-0.6585904743253235,0.7378752058503127,-2.4422740975438684,-2.0652958260498986
280,0,Star,10.0,0.0,0.0,0.0,0.0
280,1,Satellite,0.1,-0.8617329641380149,0.4934158033103238,-1.664669378071805,-2.716506828867309
290,0,Star,10.0,0.0,0.0,0.0,0.0
290,1,Satellite,0.1,-0.977668613253256,0.19894209949068284,-0.729506061937264,-3.0860642877504736
300,0,Star,10.0,0.0,0.0,0.0,0.0
300,1,Satellite,0.1,-0.996011364803479,-0.11546868193053392,0.2646406732679395,-3.1442612615759042
